Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2016-12-14,0.78,0.02,2.5,0.78,0.79,4.05,0.81,0.78,0.8,10285.0,8275.0,5000.0
2016-12-13,0.8,0.0,0.0,0.79,0.8,4.15,0.83,0.79,0.8,15610.0,12601.0,5000.0
2016-12-12,0.8,0.05,5.882,0.8,0.81,4.15,0.85,0.79,0.85,11045.0,8948.0,5000.0
2016-12-09,0.85,0.02,2.299,0.84,0.85,4.41,0.87,0.83,0.87,11565.0,9814.0,5000.0
2016-12-08,0.87,0.04,4.396,0.87,0.88,4.51,0.91,0.85,0.91,12985.0,11394.0,5000.0
2016-12-07,0.91,0.01,1.111,0.9,0.91,4.72,0.92,0.89,0.9,10830.0,9753.0,5000.0
2016-12-06,0.9,0.01,1.124,0.9,0.91,4.67,0.93,0.88,0.89,14585.0,13265.0,5000.0
2016-12-05,0.89,0.01,1.136,0.88,0.89,4.62,0.91,0.87,0.88,12835.0,11469.0,5000.0
2016-12-02,0.88,0.0,0.0,0.87,0.88,4.57,0.92,0.87,0.88,13555.0,12104.0,5000.0
2016-12-01,0.88,0.0,0.0,0.88,0.89,4.57,0.89,0.82,0.88,22665.0,19438.0,5000.0
2016-11-30,0.88,0.01,1.124,0.86,0.87,4.57,0.88,0.86,0.89,8170.0,7105.0,5000.0
2016-11-29,0.89,0.02,2.198,0.89,0.9,4.62,0.91,0.88,0.91,10155.0,9105.0,5000.0
2016-11-28,0.91,0.0,0.0,0.9,0.91,4.72,0.92,0.9,0.91,6710.0,6110.0,5000.0
2016-11-25,0.91,0.05,5.814,0.9,0.91,4.72,0.92,0.86,0.86,20140.0,18000.0,5000.0
2016-11-24,0.86,0.01,1.149,0.85,0.86,4.46,0.87,0.82,0.87,20665.0,17451.0,5000.0
2016-11-23,0.87,0.03,3.333,0.86,0.87,4.51,0.93,0.86,0.9,18195.0,16114.0,5000.0
